z.m    v        u        c
1    36.57    64.5    74.15
2    36.91    62.92    72.95
3    37.25    61.8    72.16
4    37.59    60.68    71.38
5    38.09    59.33    70.5
6    38.6    58.2    69.84
7    38.93    56.86    68.91
8    39.1    55.28    67.71
9    38.76    53.03    65.68
10    37.92    50.11    62.84
11    37.42    44.94    58.48
12    35.39    39.33    52.91
13    31.35    35.73    47.53
14    27.14    32.81    42.58
15    24.27    29.89    38.5
16    22.58    28.54    36.39
17    21.4    28.54    35.67
18    21.4    25.62    33.38
19    22.42    20.23    30.2
20    22.75    14.61    27.04
21    21.07    11.01    23.77
22    18.03    10.11    20.67
23    15.17    7.87    17.09
24    13.15    4.05    13.76
25    11.8    0.45    11.81
26    11.46    2.7    11.77
27    11.63    5.62    12.92
28    11.63    8.09    14.17
29    11.29    9.66    14.86
30    11.12    10.56    15.34
31    11.46    11.01    15.89
32    11.8    11.24    16.3
33    11.8    11.24    16.3
34    11.8    11.24    16.3
35    11.8    11.46    16.45
36    11.8    11.91    16.77
37    11.97    12.36    17.21
38    12.3    12.58    17.59
39    12.64    12.81    18.0
40    12.81    12.81    18.12
41    12.81    12.58    17.95
42    12.64    12.14    17.53
43    12.47    11.46    16.94
44    11.97    10.79    16.12
45    11.29    10.34    15.31
46    10.45    10.11    14.54
47    9.61    9.89    13.79
48    8.6    9.66    12.93
49    7.75    9.21    12.04
50    7.08    8.54    11.09
51    6.24    7.42    9.7
52    5.22    6.07    8.01
53    4.21    4.72    6.32
54    3.03    3.6    4.71
55    1.69    2.47    2.99
56    0.51    1.57    1.65
57    0.0    0.67    0.67
58    0.0    0.0    0.0
