z.m  v cm/c    u cm/c   c cm/c
1    28.65    102.92    106.83
2    29.16    102.92    106.97
3    29.16    103.15    107.19
4    28.82    103.82    107.75
5    28.48    104.95    108.75
6    27.98    106.97    110.57
7    26.97    109.89    113.15
8    25.11    113.04    115.8
9    23.09    115.28    117.57
10    21.74    115.96    117.98
11    21.07    115.06    116.97
12    20.39    113.26    115.08
13    19.72    110.79    112.53
14    19.05    107.42    109.1
15    18.37    101.8    103.44
16    14.49    91.46    92.6
17    11.12    76.41    77.21
18    13.31    59.33    60.8
19    16.69    43.82    46.89
20    19.21    32.36    37.63
21    20.73    24.72    32.26
22    21.24    17.98    27.83
23    21.07    10.34    23.47
24    20.39    3.6    20.71
25    19.38    0.67    19.39
26    18.37    3.15    18.64
27    17.53    5.62    18.41
28    16.69    8.09    18.55
29    15.84    10.34    18.92
30    15.0    12.36    19.44
31    13.99    14.38    20.06
32    12.98    16.18    20.74
33    12.14    18.2    21.88
34    11.8    20.23    23.42
35    11.97    21.8    24.87
36    12.47    23.37    26.49
37    13.15    24.94    28.19
38    13.65    26.52    29.83
39    13.82    27.87    31.11
40    13.82    28.99    32.12
41    13.82    30.11    33.13
42    13.82    31.24    34.16
43    13.82    32.36    35.19
44    13.65    33.03    35.74
45    13.82    33.26    36.02
46    14.33    33.48    36.42
47    14.83    33.71    36.83
48    15.17    33.93    37.17
49    15.51    33.93    37.31
50    16.01    34.16    37.73
51    16.35    34.38    38.07
52    16.85    34.38    38.29
53    17.19    34.16    38.24
54    17.36    33.93    38.11
55    17.53    33.71    38.0
56    17.87    33.48    37.95
57    18.2    33.03    37.71
58    18.37    32.58    37.4
59    18.37    32.14    37.02
60    18.03    31.69    36.46
61    17.87    31.01    35.79
62    17.7    30.34    35.13
63    17.53    29.44    34.26
64    17.19    28.54    33.32
65    16.69    27.42    32.1
66    16.18    26.52    31.07
67    15.51    25.62    29.95
68    14.66    24.49    28.54
69    13.82    22.7    26.58
70    12.98    19.78    23.66
71    12.14    16.18    20.23
72    11.12    12.58    16.79
73    9.94    9.21    13.55
74    8.76    6.29    10.78
75    7.75    3.82    8.64
76    6.74    2.25    7.11
77    5.39    1.35    5.56
78    3.2    0.45    3.23
79    0.0    0.0    0.0
